route,route_ident,total_departures_performed,departures_per_week
15096-14635,SYR-RSW,38,2.923076923076923
15096-15304,SYR-TPA,36,2.769230769230769
15304-10792,TPA-BUF,50,3.8461538461538463
15304-11057,TPA-CLT,39,3
15304-11193,TPA-CVG,38,2.923076923076923
15304-11292,TPA-DEN,141,10.846153846153847
15304-11986,TPA-GRR,37,2.8461538461538463
15304-12391,TPA-ISP,49,3.769230769230769
15304-12889,TPA-LAS,89,6.846153846153846
15304-13342,TPA-MKE,51,3.923076923076923
15304-13487,TPA-MSP,49,3.769230769230769
15304-13930,TPA-ORD,84,6.461538461538462
15304-14100,TPA-PHL,103,7.923076923076923
15304-14307,TPA-PVD,51,3.923076923076923
15304-14321,TPA-PWM,38,2.923076923076923
15304-15096,TPA-SYR,36,2.769230769230769
15304-15356,TPA-TTN,79,6.076923076923077
15356-10397,TTN-ATL,51,3.923076923076923
15356-11057,TTN-CLT,39,3
15356-11697,TTN-FLL,51,3.923076923076923
15356-12451,TTN-JAX,38,2.923076923076923
15356-13204,TTN-MCO,139,10.692307692307692
15356-14027,TTN-PBI,90,6.923076923076923
15356-14492,TTN-RDU,25,1.9230769230769231
15356-14635,TTN-RSW,64,4.923076923076923
15356-15304,TTN-TPA,78,6
15370-11292,TUL-DEN,39,3
15376-11292,TUS-DEN,50,3.8461538461538463
15412-11292,TYS-DEN,24,1.8461538461538463
15412-13204,TYS-MCO,16,1.2307692307692308
