route,comparison_group,baseline_avg_fare,baseline_avg_distance,baseline_distance_2,baseline_num_carriers,baseline_hhi,baseline_hub_route,baseline_n_legacy_carriers,baseline_legacy_carrier_share,baseline_n_lcc_carriers,baseline_avg_delay,baseline_delay_15_rate,baseline_cancellation_rate,baseline_avg_scheduled_flights,baseline_avg_seat_capacity,baseline_load_factor,baseline_route_size
10800-12889,Control (Never-Treated Routes),125.97319120879119,223,223,1,10000,1,0,0,1,12.680666461318912,21.50460986371177,1.1701746240645614,787,112543,75.37563420203833,84830
10800-13796,Control (Never-Treated Routes),127.96725661993771,325,325,1,10000,1,0,0,1,11.921135975997357,20.072093286352512,2.5796778192820424,1008,144238,74.06993996034332,106837
10800-14057,Control (Never-Treated Routes),169.83458193979936,817,817,1,10000,1,0,0,0,9.970088017531946,11.521121302858996,2.811588765478703,258,17320,82.99076212471131,14374
10800-14107,Control (Never-Treated Routes),141.8400683101131,369,369,2,5871.718593153457,1,0,0,1,9.125339495716709,15.632879305680456,1.399076546514871,923,105727,72.24928353211573,76387
10800-14747,Control (Never-Treated Routes),171.64248764415154,937,937,1,10000,1,1,100,0,6.386288861324211,10.823439002543997,0.5388614927514299,266,36453,84.40731901352426,30769
10800-14771,Control (Never-Treated Routes),198.83467652495375,326,326,1,10000,1,0,0,0,13.004338247275834,18.851604167338536,3.4986923595590413,459,24262,83.24128266424862,20196
10800-14831,Control (Never-Treated Routes),126.04389412617842,296,296,1,10000,1,0,0,1,10.684053979677294,18.610672923985035,1.9229445377341292,571,81617,66.87209772473872,54579
10800-14869,Control (Never-Treated Routes),205.74978260869565,574,574,1,10000,1,0,0,0,5.587044364827951,5.655499557511737,1.3756815764334382,239,11950,88.55230125523012,10582
10800-14893,Control (Never-Treated Routes),151.14702359985912,358,358,1,10000,1,0,0,1,10.32665607085952,19.005804426321525,1.5627522777343652,580,82898,64.42133706482666,53404
10821-10140,Control (Never-Treated Routes),247.6364817749604,1670,1670,1,10000,1,0,0,1,14.128272496883696,33.042589820766025,0.5388614927514299,137,20513,89.49934188075855,18359
10821-10257,Control (Never-Treated Routes),150.3137245508982,289,289,1,10000,1,0,0,1,12.530097237320138,26.021977926980867,1.41413501572736,453,66479,72.48454399133561,48187
10821-10397,Control (Never-Treated Routes),178.46462471553232,577,577,3,4813.068604331005,1,1,64.7415329768271,2,12.88113723567539,23.115028632356232,0.7240466779366151,1627,243395,77.21399371392181,187935
